locus_tag	ftype	length_bp	gene	EC_number	COG	product
NLJHNOKD_00239	CDS	1101	qoxA	1.10.3.-		putative quinol oxidase subunit 2
NLJHNOKD_00240	CDS	1989	qoxB	1.10.3.-		putative quinol oxidase subunit 1
NLJHNOKD_00241	CDS	606	qoxC	1.10.3.-		Quinol oxidase subunit 3
NLJHNOKD_00242	CDS	291	qoxD	1.10.3.-	COG3125	Quinol oxidase subunit 4
NLJHNOKD_00243	CDS	1194	fmtA	3.1.1.103		Teichoic acid D-alanine hydrolase
NLJHNOKD_00244	CDS	1218	tagU_1	2.7.8.-		Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
NLJHNOKD_00245	CDS	471				hypothetical protein
NLJHNOKD_00246	CDS	435		2.3.1.-		Acetyltransferase
NLJHNOKD_00247	CDS	3771	atl_1		COG3266	Bifunctional autolysin
NLJHNOKD_00248	CDS	420	slyA_1			Transcriptional regulator SlyA
NLJHNOKD_00249	CDS	1011				hypothetical protein
NLJHNOKD_00250	CDS	1155	dapX	2.6.1.-	COG0436	putative N-acetyl-LL-diaminopimelate aminotransferase
NLJHNOKD_00251	CDS	1011	sspA	3.4.21.19	COG3591	Glutamyl endopeptidase
NLJHNOKD_00252	CDS	1182	sspB	3.4.22.-		Staphopain B
NLJHNOKD_00253	CDS	330	sspC			Staphostatin B
NLJHNOKD_00254	CDS	822	menB	4.1.3.36		1,4-dihydroxy-2-naphthoyl-CoA synthase
NLJHNOKD_00255	CDS	804	menH	4.2.99.20	COG0596	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
NLJHNOKD_00256	CDS	1674	menD	2.2.1.9	COG1165	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase
NLJHNOKD_00257	CDS	1362	pchA	5.4.4.2		Salicylate biosynthesis isochorismate synthase
NLJHNOKD_00258	CDS	939	menA	2.5.1.74	COG1575	1,4-dihydroxy-2-naphthoate octaprenyltransferase
NLJHNOKD_00259	CDS	552				hypothetical protein
NLJHNOKD_00260	CDS	216				hypothetical protein
NLJHNOKD_00261	CDS	117				hypothetical protein
NLJHNOKD_00262	CDS	960	yfmC_1		COG4594	Fe(3+)-citrate-binding protein YfmC
NLJHNOKD_00263	CDS	357	catD	1.-.-.-	COG2259	Putative oxidoreductase CatD
NLJHNOKD_00264	CDS	1482	tarM	2.4.1.70		Poly(ribitol-phosphate) alpha-N-acetylglucosaminyltransferase
NLJHNOKD_00265	CDS	288				hypothetical protein
NLJHNOKD_00266	CDS	246				hypothetical protein
NLJHNOKD_00267	CDS	642			COG1136	putative ABC transporter ATP-binding protein
NLJHNOKD_00268	CDS	321				hypothetical protein
NLJHNOKD_00269	CDS	1965				hypothetical protein
NLJHNOKD_00270	CDS	603				hypothetical protein
NLJHNOKD_00271	CDS	177				hypothetical protein
NLJHNOKD_00272	CDS	987		6.3.1.20		Lipoate--protein ligase 1
NLJHNOKD_00273	CDS	219				hypothetical protein
NLJHNOKD_00274	CDS	570				hypothetical protein
NLJHNOKD_00275	tRNA	75				tRNA-Asn(gtt)
NLJHNOKD_00276	tRNA	91				tRNA-Ser(gct)
NLJHNOKD_00277	CDS	1515				hypothetical protein
NLJHNOKD_00278	CDS	1359	ktrB_1		COG0168	Ktr system potassium uptake protein B
NLJHNOKD_00279	CDS	2310		3.4.21.-		Serine protease HtrA-like protein
NLJHNOKD_00280	CDS	804				hypothetical protein
NLJHNOKD_00281	CDS	1563	prfC			Peptide chain release factor 3
NLJHNOKD_00282	CDS	252				hypothetical protein
NLJHNOKD_00283	CDS	1485	murE	6.3.2.7		UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase
NLJHNOKD_00284	CDS	1176	ugtP	2.4.1.315	COG0707	Processive diacylglycerol beta-glucosyltransferase
NLJHNOKD_00285	CDS	1191	ltaA		COG2814	Proton-coupled antiporter flippase LtaA
NLJHNOKD_00286	CDS	510		3.1.-.-		Putative phosphoesterase
NLJHNOKD_00287	CDS	852				hypothetical protein
NLJHNOKD_00288	CDS	726				hypothetical protein
NLJHNOKD_00289	CDS	759				hypothetical protein
NLJHNOKD_00290	CDS	1569	acp			Sodium/proton-dependent alanine carrier protein
NLJHNOKD_00291	CDS	1086			COG0628	Putative transport protein
NLJHNOKD_00292	CDS	771	fabI	1.3.1.39		Enoyl-[acyl-carrier-protein] reductase [NADPH] FabI
NLJHNOKD_00293	CDS	1845	kefB			Glutathione-regulated potassium-efflux system protein KefB
NLJHNOKD_00294	CDS	1386	mgtE		COG2239	Magnesium transporter MgtE
NLJHNOKD_00295	CDS	855				hypothetical protein
NLJHNOKD_00296	CDS	810	nadK	2.7.1.23		NAD kinase
NLJHNOKD_00297	CDS	636	yjbM	2.7.6.5	COG2357	GTP pyrophosphokinase YjbM
NLJHNOKD_00298	CDS	348				hypothetical protein
NLJHNOKD_00299	CDS	594	yjbK	3.6.1.-	COG4116	Putative triphosphatase YjbK
NLJHNOKD_00300	CDS	366	yjbI		COG2346	Group 2 truncated hemoglobin YjbI
NLJHNOKD_00301	CDS	807	spxH		COG2761	ClpXP adapter protein SpxH
NLJHNOKD_00302	CDS	1809	pepF_1	3.4.24.-	COG1164	Oligopeptidase PepF
NLJHNOKD_00303	CDS	987				hypothetical protein
NLJHNOKD_00304	CDS	720	mecA		COG4862	Adapter protein MecA
NLJHNOKD_00305	CDS	396	spx			Global transcriptional regulator Spx
NLJHNOKD_00306	CDS	990	trpS	6.1.1.2		Tryptophan--tRNA ligase
NLJHNOKD_00307	CDS	882	dppC		COG1173	Dipeptide transport system permease protein DppC
NLJHNOKD_00308	CDS	963	oppB_1		COG0601	Oligopeptide transport system permease protein OppB
NLJHNOKD_00309	CDS	981	dppF	7.4.2.9		Di/tripeptide transport ATP-binding protein DppF
NLJHNOKD_00310	CDS	987	oppD_1	7.4.2.6	COG0444	Oligopeptide transport ATP-binding protein OppD
NLJHNOKD_00311	CDS	1716	appA			Oligopeptide-binding protein AppA
NLJHNOKD_00312	CDS	1656	dppA		COG4166	Dipeptide-binding protein
NLJHNOKD_00313	CDS	942	oppF	7.4.2.6	COG4608	Oligopeptide transport ATP-binding protein OppF
NLJHNOKD_00314	CDS	1083	oppD_2	7.4.2.6	COG0444	Oligopeptide transport ATP-binding protein OppD
NLJHNOKD_00315	CDS	1071	oppC		COG1173	Oligopeptide transport system permease protein OppC
NLJHNOKD_00316	CDS	927	oppB_2		COG0601	Oligopeptide transport system permease protein OppB
NLJHNOKD_00317	CDS	372				hypothetical protein
NLJHNOKD_00318	CDS	1245	fabF	2.3.1.179		3-oxoacyl-[acyl-carrier-protein] synthase 2
NLJHNOKD_00319	CDS	942	fabH	2.3.1.180		Beta-ketoacyl-[acyl-carrier-protein] synthase III
NLJHNOKD_00320	CDS	186				hypothetical protein
NLJHNOKD_00321	CDS	435	map_1			Protein map
NLJHNOKD_00322	CDS	516				hypothetical protein
NLJHNOKD_00323	CDS	1119				hypothetical protein
NLJHNOKD_00324	CDS	642		2.7.7.87	COG0009	Putative threonylcarbamoyl-AMP synthase
NLJHNOKD_00325	CDS	1146	leuA1	2.3.3.13		2-isopropylmalate synthase 1
NLJHNOKD_00326	CDS	870	ampR			HTH-type transcriptional activator AmpR
NLJHNOKD_00327	CDS	2610	clpB			Chaperone protein ClpB
NLJHNOKD_00328	CDS	1815	oatA_1	2.3.1.-	COG1835	O-acetyltransferase OatA
NLJHNOKD_00329	CDS	309	sufT			Fe-S protein maturation auxiliary factor SufT
NLJHNOKD_00330	CDS	825	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
NLJHNOKD_00331	CDS	1317	cdr	1.8.1.14		Coenzyme A disulfide reductase
