# BUSCO version is: 6.0.0 
# The lineage dataset is: bacteria_odb10 (Creation date: 2024-01-08, number of genomes: 4085, number of BUSCOs: 124)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
932993at2	Complete	NODE_21_length_46212_cov_202.697359	21086	19785	-	84.9	234	https://v10-1.orthodb.org/?query=932993at2	Trigger factor
961486at2	Complete	NODE_8_length_131064_cov_236.695746	68740	67907	-	237.3	192	https://v10-1.orthodb.org/?query=961486at2	Ribosomal protein L2
981870at2	Complete	NODE_3_length_190121_cov_203.196926	17585	16419	-	248.6	259	https://v10-1.orthodb.org/?query=981870at2	Chorismate synthase
984717at2	Complete	NODE_3_length_190121_cov_203.196926	114434	113535	-	227.0	220	https://v10-1.orthodb.org/?query=984717at2	GTPase Era
1009041at2	Complete	NODE_30_length_23578_cov_208.027377	14056	15228	+	251.6	220	https://v10-1.orthodb.org/?query=1009041at2	Cell division protein FtsZ
1024388at2	Complete	NODE_33_length_21313_cov_208.261643	17946	19139	+	442.2	308	https://v10-1.orthodb.org/?query=1024388at2	S-adenosylmethionine synthetase
1036075at2	Complete	NODE_14_length_70073_cov_210.131480	58508	60289	+	274.1	334	https://v10-1.orthodb.org/?query=1036075at2	GIY-YIG endonuclease
1043239at2	Complete	NODE_4_length_159364_cov_195.254851	20727	21449	+	157.6	156	https://v10-1.orthodb.org/?query=1043239at2	Uridylate kinase
1049662at2	Complete	NODE_2_length_205520_cov_212.013608	16238	14760	-	578.3	438	https://v10-1.orthodb.org/?query=1049662at2	Methylglyoxal synthase-like domain
1054741at2	Complete	NODE_3_length_190121_cov_203.196926	163344	162226	-	458.0	329	https://v10-1.orthodb.org/?query=1054741at2	tRNA-specific 2-thiouridylase
1069591at2	Complete	NODE_4_length_159364_cov_195.254851	75610	76545	+	163.7	185	https://v10-1.orthodb.org/?query=1069591at2	tRNA dimethylallyltransferase
1074831at2	Complete	NODE_3_length_190121_cov_203.196926	72893	71214	-	276.8	378	https://v10-1.orthodb.org/?query=1074831at2	DNA repair protein RecN
1080436at2	Complete	NODE_4_length_159364_cov_195.254851	54133	55176	+	388.4	264	https://v10-1.orthodb.org/?query=1080436at2	Protein RecA
1093223at2	Complete	NODE_30_length_23578_cov_208.027377	9821	11170	+	301.9	356	https://v10-1.orthodb.org/?query=1093223at2	Mur ligase, C-terminal
1132353at2	Complete	NODE_8_length_131064_cov_236.695746	67156	66503	-	198.4	161	https://v10-1.orthodb.org/?query=1132353at2	K Homology domain
1151822at2	Complete	NODE_30_length_23578_cov_208.027377	8854	9819	+	266.3	249	https://v10-1.orthodb.org/?query=1151822at2	Phospho-N-acetylmuramoyl-pentapeptide-transferase
1166299at2	Complete	NODE_4_length_159364_cov_195.254851	37348	38265	+	115.9	118	https://v10-1.orthodb.org/?query=1166299at2	tRNA pseudouridine synthase B
1211060at2	Complete	NODE_10_length_105441_cov_213.290342	27154	27756	+	191.3	164	https://v10-1.orthodb.org/?query=1211060at2	RNA-binding S4 domain
1257362at2	Complete	NODE_11_length_101835_cov_232.895913	88284	87259	-	243.0	234	https://v10-1.orthodb.org/?query=1257362at2	tRNA N6-adenosine threonylcarbamoyltransferase
1266295at2	Complete	NODE_26_length_31496_cov_215.443656	20275	19514	-	325.0	248	https://v10-1.orthodb.org/?query=1266295at2	Triosephosphate isomerase
1270636at2	Complete	NODE_8_length_131064_cov_236.695746	70360	69698	-	175.3	156	https://v10-1.orthodb.org/?query=1270636at2	Ribosomal protein L3
1272633at2	Complete	NODE_30_length_23578_cov_208.027377	4997	5932	+	128.4	150	https://v10-1.orthodb.org/?query=1272633at2	S-adenosyl-L-methionine-dependent methyltransferase
1346419at2	Complete	NODE_20_length_50790_cov_203.557386	34374	33175	-	323.5	290	https://v10-1.orthodb.org/?query=1346419at2	Flavoprotein
1395197at2	Complete	NODE_4_length_159364_cov_195.254851	24166	25452	+	120.7	157	https://v10-1.orthodb.org/?query=1395197at2	Peptidase M50
1398618at2	Complete	NODE_8_length_131064_cov_236.695746	63598	63062	-	145.9	130	https://v10-1.orthodb.org/?query=1398618at2	Ribosomal protein L6, alpha-beta domain
1419877at2	Complete	NODE_3_length_190121_cov_203.196926	23054	22056	-	266.0	259	https://v10-1.orthodb.org/?query=1419877at2	glycerol-3-phosphate dehydrogenase
1456375at2	Complete	NODE_8_length_131064_cov_236.695746	64800	64261	-	233.8	142	https://v10-1.orthodb.org/?query=1456375at2	Ribosomal protein L5
1470978at2	Complete	NODE_1_length_221181_cov_231.485492	199516	199016	-	98.6	109	https://v10-1.orthodb.org/?query=1470978at2	Ribosomal protein L10
1490892at2	Complete	NODE_3_length_190121_cov_203.196926	122138	121386	-	58.3	88	https://v10-1.orthodb.org/?query=1490892at2	16S rRNA (uracil(1498)-N(3))-methyltransferase
1491686at2	Complete	NODE_8_length_131064_cov_236.695746	60189	59542	-	137.8	130	https://v10-1.orthodb.org/?query=1491686at2	Adenylate kinase
1497415at2	Complete	NODE_20_length_50790_cov_203.557386	1959	1456	-	48.6	67	https://v10-1.orthodb.org/?query=1497415at2	Ribosome maturation factor RimM
1502854at2	Complete	NODE_20_length_50790_cov_203.557386	35431	34808	-	253.1	188	https://v10-1.orthodb.org/?query=1502854at2	Guanylate kinase
1504821at2	Complete	NODE_4_length_159364_cov_195.254851	38280	39251	+	175.7	222	https://v10-1.orthodb.org/?query=1504821at2	Riboflavin kinase
1505038at2	Complete	NODE_8_length_131064_cov_236.695746	62651	62151	-	223.9	149	https://v10-1.orthodb.org/?query=1505038at2	Ribosomal protein S5
1540940at2	Complete	NODE_1_length_221181_cov_231.485492	189328	188858	-	204.9	134	https://v10-1.orthodb.org/?query=1540940at2	Ribosomal protein S7 domain
1567535at2	Complete	NODE_8_length_131064_cov_236.695746	61498	60206	-	314.4	299	https://v10-1.orthodb.org/?query=1567535at2	Protein translocase subunit SecY
1572673at2	Complete	NODE_8_length_131064_cov_236.695746	69671	69048	-	133.9	105	https://v10-1.orthodb.org/?query=1572673at2	50S ribosomal protein L4
1574817at2	Complete	NODE_3_length_190121_cov_203.196926	76618	76229	-	128.6	136	https://v10-1.orthodb.org/?query=1574817at2	Transcription antitermination protein NusB
1590629at2	Complete	NODE_7_length_137367_cov_265.552610	44972	45691	+	74.2	103	https://v10-1.orthodb.org/?query=1590629at2	rRNA small subunit methyltransferase G
1592033at2	Complete	NODE_4_length_159364_cov_195.254851	77603	78841	+	461.2	374	https://v10-1.orthodb.org/?query=1592033at2	GTPase HflX
1595498at2	Complete	NODE_4_length_159364_cov_195.254851	32039	32506	+	33.9	56	https://v10-1.orthodb.org/?query=1595498at2	Ribosome maturation factor RimP
1623045at2	Complete	NODE_4_length_159364_cov_195.254851	18760	19527	+	269.7	188	https://v10-1.orthodb.org/?query=1623045at2	Ribosomal protein S2
1661836at2	Complete	NODE_18_length_54748_cov_239.629843	53346	53942	+	164.0	151	https://v10-1.orthodb.org/?query=1661836at2	Recombination protein RecR
1666043at2	Complete	NODE_8_length_131064_cov_236.695746	67533	67180	-	113.3	86	https://v10-1.orthodb.org/?query=1666043at2	Ribosomal protein L22/L17
1671455at2	Complete	NODE_1_length_221181_cov_231.485492	200480	199788	-	218.8	163	https://v10-1.orthodb.org/?query=1671455at2	Ribosomal protein L1
1674344at2	Complete	NODE_4_length_159364_cov_195.254851	21468	22022	+	156.0	136	https://v10-1.orthodb.org/?query=1674344at2	Ribosome recycling factor
1676462at2	Complete	NODE_24_length_37904_cov_236.807842	19025	18453	-	127.0	120	https://v10-1.orthodb.org/?query=1676462at2	Peptidyl-tRNA hydrolase
1692188at2	Complete	NODE_8_length_131064_cov_236.695746	64021	63623	-	194.7	131	https://v10-1.orthodb.org/?query=1692188at2	Ribosomal protein S8
1698718at2	Complete	NODE_20_length_50790_cov_203.557386	616	266	-	133.1	89	https://v10-1.orthodb.org/?query=1698718at2	Ribosomal protein L19
1701531at2	Complete	NODE_13_length_73100_cov_229.177617	42020	41154	-	164.4	145	https://v10-1.orthodb.org/?query=1701531at2	ATP synthase, F1 complex, gamma subunit
1702697at2	Complete	NODE_1_length_221181_cov_231.485492	201110	200688	-	135.1	105	https://v10-1.orthodb.org/?query=1702697at2	Ribosomal protein L11, C-terminal
1707228at2	Complete	NODE_1_length_221181_cov_231.485492	189807	189394	-	169.3	101	https://v10-1.orthodb.org/?query=1707228at2	Ribosomal protein S12, bacterial-type
1713391at2	Complete	NODE_8_length_131064_cov_236.695746	58574	58185	-	157.5	97	https://v10-1.orthodb.org/?query=1713391at2	Ribosomal protein S11
1720952at2	Complete	NODE_26_length_31496_cov_215.443656	12178	11714	-	201.5	141	https://v10-1.orthodb.org/?query=1720952at2	SsrA-binding protein
1758685at2	Complete	NODE_3_length_190121_cov_203.196926	113507	112761	-	34.9	78	https://v10-1.orthodb.org/?query=1758685at2	DNA repair protein RecO
1760144at2	Complete	NODE_21_length_46212_cov_202.697359	24139	23579	-	89.2	87	https://v10-1.orthodb.org/?query=1760144at2	Translation initiation factor 3, C-terminal
1766414at2	Complete	NODE_8_length_131064_cov_236.695746	52281	51883	-	115.2	99	https://v10-1.orthodb.org/?query=1766414at2	Ribosomal protein S9
1772647at2	Complete	NODE_8_length_131064_cov_236.695746	58963	58598	-	149.0	100	https://v10-1.orthodb.org/?query=1772647at2	Ribosomal protein S13
1776954at2	Complete	NODE_12_length_83549_cov_247.245838	16299	16003	-	53.8	71	https://v10-1.orthodb.org/?query=1776954at2	Ribosomal protein S6
1786618at2	Complete	NODE_8_length_131064_cov_236.695746	66500	66066	-	157.7	103	https://v10-1.orthodb.org/?query=1786618at2	Ribosomal protein L16
1799923at2	Complete	NODE_8_length_131064_cov_236.695746	65548	65180	-	140.0	104	https://v10-1.orthodb.org/?query=1799923at2	Ribosomal protein L14P
1822215at2	Complete	NODE_8_length_131064_cov_236.695746	52732	52295	-	155.7	112	https://v10-1.orthodb.org/?query=1822215at2	Ribosomal protein L13
1822695at2	Complete	NODE_1_length_221181_cov_231.485492	198973	198605	-	90.8	89	https://v10-1.orthodb.org/?query=1822695at2	Ribosomal protein L7/L12
1827295at2	Complete	NODE_11_length_101835_cov_232.895913	89851	89357	-	67.7	67	https://v10-1.orthodb.org/?query=1827295at2	tRNA threonylcarbamoyl adenosine modification protein TsaE
1827334at2	Complete	NODE_14_length_70073_cov_210.131480	34733	35275	+	93.8	87	https://v10-1.orthodb.org/?query=1827334at2	methyltransferase
1830156at2	Complete	NODE_3_length_190121_cov_203.196926	115664	115197	-	77.9	71	https://v10-1.orthodb.org/?query=1830156at2	Endoribonuclease YbeY
1838961at2	Complete	NODE_8_length_131064_cov_236.695746	57149	56781	-	102.4	83	https://v10-1.orthodb.org/?query=1838961at2	Ribosomal protein L17
1842956at2	Complete	NODE_3_length_190121_cov_203.196926	7622	6651	-	48.0	85	https://v10-1.orthodb.org/?query=1842956at2	Biotin--acetyl-CoA-carboxylase ligase
1844275at2	Complete	NODE_20_length_50790_cov_203.557386	46600	45719	-	178.2	174	https://v10-1.orthodb.org/?query=1844275at2	Aspartate carbamoyltransferase
1846503at2	Complete	NODE_14_length_70073_cov_210.131480	35277	35759	+	122.6	107	https://v10-1.orthodb.org/?query=1846503at2	pantetheine-phosphate adenylyltransferase
1874945at2	Complete	NODE_8_length_131064_cov_236.695746	61938	61498	-	74.4	86	https://v10-1.orthodb.org/?query=1874945at2	Ribosomal protein L15
1890943at2	Complete	NODE_20_length_50790_cov_203.557386	10263	9532	-	63.4	84	https://v10-1.orthodb.org/?query=1890943at2	ribonuclease III
1893906at2	Complete	NODE_8_length_131064_cov_236.695746	67840	67562	-	140.5	71	https://v10-1.orthodb.org/?query=1893906at2	Ribosomal protein S19, bacterial-type
1904463at2	Complete	NODE_3_length_190121_cov_203.196926	189240	188956	-	116.4	67	https://v10-1.orthodb.org/?query=1904463at2	Ribosomal protein L27
1906715at2	Complete	NODE_3_length_190121_cov_203.196926	126884	126258	-	57.5	69	https://v10-1.orthodb.org/?query=1906715at2	Protein GrpE
1932144at2	Complete	NODE_21_length_46212_cov_202.697359	23303	22947	-	119.2	93	https://v10-1.orthodb.org/?query=1932144at2	Ribosomal protein L20
1937072at2	Complete	NODE_20_length_50790_cov_203.557386	2422	2147	-	109.2	70	https://v10-1.orthodb.org/?query=1937072at2	Ribosomal protein S16
1937493at2	Complete	NODE_13_length_73100_cov_229.177617	44120	43581	-	98.9	157	https://v10-1.orthodb.org/?query=1937493at2	ATP synthase subunit delta
1940575at2	Complete	NODE_12_length_83549_cov_247.245838	15427	15185	-	94.4	48	https://v10-1.orthodb.org/?query=1940575at2	Ribosomal protein S18
1949059at2	Complete	NODE_3_length_190121_cov_203.196926	189886	189578	-	134.7	100	https://v10-1.orthodb.org/?query=1949059at2	Ribosomal protein L21
1959318at2	Complete	NODE_7_length_137367_cov_265.552610	20402	19956	-	74.5	86	https://v10-1.orthodb.org/?query=1959318at2	Ribosomal protein L9
1963491at2	Complete	NODE_8_length_131064_cov_236.695746	63031	62672	-	142.9	103	https://v10-1.orthodb.org/?query=1963491at2	Ribosomal protein L18
1971380at2	Complete	NODE_4_length_159364_cov_195.254851	36829	37179	+	130.4	112	https://v10-1.orthodb.org/?query=1971380at2	Ribosome-binding factor A
1978865at2	Complete	NODE_8_length_131064_cov_236.695746	69048	68773	-	105.7	90	https://v10-1.orthodb.org/?query=1978865at2	Ribosomal protein L25/L23
1990141at2	Complete	NODE_4_length_159364_cov_195.254851	39366	39635	+	109.5	69	https://v10-1.orthodb.org/?query=1990141at2	Ribosomal protein S15
1990650at2	Complete	NODE_3_length_190121_cov_203.196926	137736	137383	-	83.5	81	https://v10-1.orthodb.org/?query=1990650at2	Ribosomal silencing factor RsfS
2005443at2	Complete	NODE_3_length_190121_cov_203.196926	131852	132103	+	53.2	60	https://v10-1.orthodb.org/?query=2005443at2	Ribosomal protein S20
2012682at2	Complete	NODE_8_length_131064_cov_236.695746	70696	70388	-	142.5	88	https://v10-1.orthodb.org/?query=2012682at2	Ribosomal protein S10
2035880at2	Complete	NODE_8_length_131064_cov_236.695746	65843	65580	-	85.4	57	https://v10-1.orthodb.org/?query=2035880at2	Ribosomal protein S17/S11
2040741at2	Complete	NODE_8_length_131064_cov_236.695746	65144	64827	-	63.3	54	https://v10-1.orthodb.org/?query=2040741at2	Ribosomal protein L24
2046660at2	Complete	NODE_21_length_46212_cov_202.697359	23550	23350	-	39.6	34	https://v10-1.orthodb.org/?query=2046660at2	Ribosomal protein L35
2063644at2	Complete	NODE_8_length_131064_cov_236.695746	66076	65867	-	49.8	33	https://v10-1.orthodb.org/?query=2063644at2	Ribosomal protein L29/L35
2066663at2	Complete	NODE_8_length_131064_cov_236.695746	59349	59131	-	95.5	57	https://v10-1.orthodb.org/?query=2066663at2	Translation initiation factor IF-1
2075502at2	Complete	NODE_3_length_190121_cov_203.196926	155198	154770	-	43.4	65	https://v10-1.orthodb.org/?query=2075502at2	YqgF/RNase H-like domain
