#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3_length_190121_cov_203.196926:113535-114434|- -            300 984717at2            -            224   3.6e-68  227.0  14.3   1   1     6e-67   1.3e-64  215.3  14.3     1   220     8   287     8   294 0.79 NODE_3_length_190121_cov_203.196926_115 # 113535 # 114434 # -1 # ID=3_115;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.331
NODE_16_length_65196_cov_204.044227:52662-56102|-   -           1147 984717at2            -            224   8.6e-10   36.1   6.4   3   4   3.2e-05    0.0071   13.5   0.0     3    34   593   624   591   639 0.88 NODE_16_length_65196_cov_204.044227_26 # 52662 # 56102 # -1 # ID=16_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_16_length_65196_cov_204.044227:52662-56102|-   -           1147 984717at2            -            224   8.6e-10   36.1   6.4   4   4      0.74   1.6e+02   -0.8   0.3    80   140   789   849   740   884 0.64 NODE_16_length_65196_cov_204.044227_26 # 52662 # 56102 # -1 # ID=16_26;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_3_length_190121_cov_203.196926:139997-141097|- -            367 984717at2            -            224   1.6e-09   35.2   0.9   1   2      0.79   1.8e+02   -0.9   0.1    85   107    90   113    71   120 0.74 NODE_3_length_190121_cov_203.196926_145 # 139997 # 141097 # -1 # ID=3_145;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.342
NODE_3_length_190121_cov_203.196926:139997-141097|- -            367 984717at2            -            224   1.6e-09   35.2   0.9   2   2   1.6e-11   3.7e-09   34.0   0.1     2    78   163   240   162   270 0.65 NODE_3_length_190121_cov_203.196926_145 # 139997 # 141097 # -1 # ID=3_145;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.342
NODE_4_length_159364_cov_195.254851:34326-36443|+   -            706 984717at2            -            224   1.4e-05   22.3   0.7   1   1   1.4e-07   3.1e-05   21.1   0.7     2   104   212   321   211   340 0.74 NODE_4_length_159364_cov_195.254851_28 # 34326 # 36443 # 1 # ID=4_28;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.341
NODE_4_length_159364_cov_195.254851:77603-78841|+   -            413 984717at2            -            224   1.8e-05   21.9   0.3   1   2     0.093        21    2.1   0.1    60   117    70   125    65   131 0.80 NODE_4_length_159364_cov_195.254851_64 # 77603 # 78841 # 1 # ID=4_64;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
NODE_4_length_159364_cov_195.254851:77603-78841|+   -            413 984717at2            -            224   1.8e-05   21.9   0.3   2   2     2e-06   0.00044   17.4   0.0     2   104   208   316   207   333 0.75 NODE_4_length_159364_cov_195.254851_64 # 77603 # 78841 # 1 # ID=4_64;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.313
NODE_3_length_190121_cov_203.196926:187314-188606|- -            431 984717at2            -            224   2.6e-05   21.4   0.0   1   2   9.1e-07    0.0002   18.5   0.0     2    62   161   222   160   263 0.75 NODE_3_length_190121_cov_203.196926_190 # 187314 # 188606 # -1 # ID=3_190;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_3_length_190121_cov_203.196926:187314-188606|- -            431 984717at2            -            224   2.6e-05   21.4   0.0   2   2      0.26        58    0.6   0.0    83   105   266   288   251   317 0.81 NODE_3_length_190121_cov_203.196926_190 # 187314 # 188606 # -1 # ID=3_190;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_12_length_83549_cov_247.245838:16820-17917|-   -            366 984717at2            -            224    0.0014   15.7   0.1   1   3   6.5e-06    0.0014   15.7   0.1     3    21     6    24     4    44 0.89 NODE_12_length_83549_cov_247.245838_22 # 16820 # 17917 # -1 # ID=12_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.354
NODE_12_length_83549_cov_247.245838:16820-17917|-   -            366 984717at2            -            224    0.0014   15.7   0.1   2   3      0.97   2.2e+02   -1.2   0.1    70   107    94   125    70   171 0.63 NODE_12_length_83549_cov_247.245838_22 # 16820 # 17917 # -1 # ID=12_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.354
NODE_12_length_83549_cov_247.245838:16820-17917|-   -            366 984717at2            -            224    0.0014   15.7   0.1   3   3         2   4.4e+02   -2.2   0.1   144   165   224   245   197   262 0.53 NODE_12_length_83549_cov_247.245838_22 # 16820 # 17917 # -1 # ID=12_22;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.354
NODE_5_length_148581_cov_258.518993:86059-87489|+   -            477 984717at2            -            224    0.0016   15.5   0.5   1   2   1.6e-05    0.0036   14.4   0.0     3    57     5    57     3   117 0.72 NODE_5_length_148581_cov_258.518993_80 # 86059 # 87489 # 1 # ID=5_80;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.335
NODE_5_length_148581_cov_258.518993:86059-87489|+   -            477 984717at2            -            224    0.0016   15.5   0.5   2   2       1.6   3.5e+02   -1.9   0.1    76   109   201   231   180   256 0.65 NODE_5_length_148581_cov_258.518993_80 # 86059 # 87489 # 1 # ID=5_80;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.335
NODE_12_length_83549_cov_247.245838:31746-32588|-   -            281 984717at2            -            224    0.0079   13.3   0.6   1   1   9.3e-05     0.021   11.9   0.6     2    23    34    55    33    57 0.93 NODE_12_length_83549_cov_247.245838_34 # 31746 # 32588 # -1 # ID=12_34;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.316
NODE_11_length_101835_cov_232.895913:83257-85185|+  -            643 984717at2            -            224      0.02   12.0   4.3   1   3    0.0048       1.1    6.3   0.1     2    21    32    51    31    53 0.87 NODE_11_length_101835_cov_232.895913_108 # 83257 # 85185 # 1 # ID=11_108;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.320
NODE_11_length_101835_cov_232.895913:83257-85185|+  -            643 984717at2            -            224      0.02   12.0   4.3   2   3    0.0052       1.1    6.2   0.2     2    23   358   379   357   386 0.88 NODE_11_length_101835_cov_232.895913_108 # 83257 # 85185 # 1 # ID=11_108;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.320
NODE_11_length_101835_cov_232.895913:83257-85185|+  -            643 984717at2            -            224      0.02   12.0   4.3   3   3       2.1   4.7e+02   -2.3   0.0    39    91   458   511   451   518 0.72 NODE_11_length_101835_cov_232.895913_108 # 83257 # 85185 # 1 # ID=11_108;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.320
NODE_2_length_205520_cov_212.013608:57794-58435|-   -            214 984717at2            -            224     0.022   11.9   0.5   1   2   0.00037     0.082   10.0   0.0     3    21    31    49    29    53 0.91 NODE_2_length_205520_cov_212.013608_55 # 57794 # 58435 # -1 # ID=2_55;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.279
NODE_2_length_205520_cov_212.013608:57794-58435|-   -            214 984717at2            -            224     0.022   11.9   0.5   2   2      0.48   1.1e+02   -0.2   0.1    36    83   142   189   122   212 0.52 NODE_2_length_205520_cov_212.013608_55 # 57794 # 58435 # -1 # ID=2_55;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.279
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /workspaces/Project_S.aureus/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm
# Target file:     /workspaces/Project_S.aureus/busco_results/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /workspaces/Project_S.aureus/busco_results/run_bacteria_odb10/hmmer_output/984717at2.out --cpu 1 /workspaces/Project_S.aureus/busco_downloads/lineages/bacteria_odb10/hmms/984717at2.hmm /workspaces/Project_S.aureus/busco_results/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /workspaces/Project_S.aureus
# Date:            Tue Mar 31 16:04:33 2026
# [ok]
